timestamp;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;test_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets
2024-02-23-22:52:10;50;50;5;1;ORIGINAL;MNIST;0.8899223223476354;0.9210275863360682;0;7;15;0.44422057;7;[15, 28, 42, 38, 33];[0.44422057, 0.39110765, 0.118328996, 0.041654892, 0.0013856854];[7, 2, 7, 7, 9]
2024-02-23-22:52:15;50;50;5;1;ORIGINAL_COMPACT;MNIST;0.8899223223476354;0.9210275863360682;0;7;15;0.44422057;7;[15, 28, 42, 38, 33];[0.44422057, 0.39110765, 0.118328996, 0.041654892, 0.0013856854];[7, 2, 7, 7, 9]
2024-02-23-22:52:18;50;50;5;1;REIMPLEMENTED;MNIST;0.8902520418712441;0.9193180637195899;0;7;15;0.44477567;7;[15, 28, 42, 38, 33];[0.44477567, 0.3913203, 0.11340368, 0.04273579, 0.0016608651];[7, 2, 7, 7, 9]
2024-02-23-22:52:22;50;50;5;1;R_NO_SOFTMAX;MNIST;-2.9377026960372454;-1.3829997337678557;0;7;41;0.057216313;8;[41, 42, 15, 28, 39];[0.057216313, 0.050531466, 0.037988793, 0.03581572, 0.033639032];[8, 7, 7, 2, 6]
2024-02-23-22:52:26;50;50;5;1;R_NORMALIZE;MNIST;-0.7457005900776466;-0.08083433209032989;0;7;49;0.0;3;[49, 48, 47, 46, 45];[0.0, 0.0, 0.0, 0.0, 0.0];[3, 9, 5, 8, 9]
2024-02-23-22:52:29;50;50;5;1;R_INIT_WEIGHTS_RANDOM;MNIST;0.8899815916252362;0.9191491653329236;0;7;15;0.44644234;7;[15, 28, 42, 38, 11];[0.44644234, 0.3903262, 0.10832318, 0.04838577, 0.00063866377];[7, 2, 7, 7, 5]
2024-02-23-22:52:32;50;50;5;1;R_NO_SOFTMAX_IWR;MNIST;-15.37616632058507;-7.419731254092791;0;7;3;0.052214548;1;[3, 22, 44, 1, 29];[0.052214548, 0.05176892, 0.044290368, 0.0320927, 0.031413797];[1, 9, 3, 0, 7]
2024-02-23-22:52:36;50;50;5;1;R_NORMALIZE_IWR;MNIST;0.8911423690663095;0.9212114210864362;0;7;15;0.44239315;7;[15, 28, 42, 38, 46];[0.44239315, 0.38990507, 0.11970599, 0.04709641, 6.201683e-05];[7, 2, 7, 7, 8]
2024-02-23-22:52:42;50;50;5;1;O_C_NO_SOFTMAX;MNIST;-2.3149219023101124;0.9448054311705432;0;7;36;0.27771655;6;[36, 47, 37, 2, 42];[0.27771655, 0.20121327, 0.19489346, 0.1452675, 0.08891621];[6, 5, 0, 4, 7]
2024-02-23-22:52:47;50;50;5;1;O_C_NO_REGULIZATION;MNIST;0.8910937902007572;0.9223138443530392;0;7;15;0.44477567;7;[15, 28, 42, 38, 33];[0.44477567, 0.3913203, 0.11340368, 0.04273579, 0.0016608651];[7, 2, 7, 7, 9]
2024-02-23-22:52:53;50;50;5;1;ORIGINAL;MNIST;0.8899223223476354;0.9210275863360682;1;2;25;0.5221522;2;[25, 32, 36, 3, 39];[0.5221522, 0.2677656, 0.17810424, 0.02779685, 0.0011081599];[2, 6, 6, 1, 6]
2024-02-23-22:52:59;50;50;5;1;ORIGINAL_COMPACT;MNIST;0.8899223223476354;0.9210275863360682;1;2;25;0.5221522;2;[25, 32, 36, 3, 39];[0.5221522, 0.2677656, 0.17810424, 0.02779685, 0.0011081599];[2, 6, 6, 1, 6]
2024-02-23-22:53:02;50;50;5;1;REIMPLEMENTED;MNIST;0.8902520418712441;0.9193180637195899;1;2;25;0.5212796;2;[25, 32, 36, 3, 39];[0.5212796, 0.26212147, 0.18017757, 0.026817495, 0.0013871772];[2, 6, 6, 1, 6]
2024-02-23-22:53:05;50;50;5;1;R_NO_SOFTMAX;MNIST;-2.9377026960372454;-1.3829997337678557;1;2;32;0.075637124;6;[32, 48, 12, 38, 43];[0.075637124, 0.06283948, 0.047207378, 0.033865545, 0.03353723];[6, 9, 3, 7, 9]
