timestamp,corpus_size,test_size,decomposition_size,cv,model_type,dataset,latent_r2_score,output_r2_score,sample_id,target,most_imp_corpus_id,most_imp_corpus_weight,most_imp_corpus_target,corpus_ids,corpus_weight,corpus_targets,
2024-02-25-21:46:13,100,10,3,1,REIMPLEMENTED,CaD,0.7954084595843798,0.8567778845962698,0,1,42,0.333204,1,"[42, 74, 79]","[0.333204, 0.3080693, 0.09341377]","[1, 0, 1]",No visualization
2024-02-25-21:46:20,100,10,3,1,ORIGINAL,Heart,0.9152727164005318,0.44853600105306246,0,1,39,0.99886346,1,"[39, 48, 47]","[0.99886346, 0.00044181754, 0.000110515386]","[1, 0, 1]",No visualization
2024-02-25-21:46:23,100,10,3,1,REIMPLEMENTED,Heart,0.4057401346145186,-5.196460353134814,0,1,8,0.21897136,1,"[8, 95, 23]","[0.21897136, 0.1464893, 0.08471024]","[1, 0, 1]",No visualization
2024-02-25-21:47:08,100,10,3,1,ORIGINAL,MNIST_MakeCorpus,0.9208910751418284,0.9550169996483955,0,1,22,0.48060343,1,"[22, 13, 92]","[0.48060343, 0.28206682, 0.23425499]","[1, 6, 3]",No visualization
2024-02-25-21:47:42,100,10,3,1,REIMPLEMENTED,MNIST_MakeCorpus,0.875706797855945,0.9147329892652263,0,1,22,0.40654945,1,"[22, 13, 92]","[0.40654945, 0.20181155, 0.19570312]","[1, 6, 3]",No visualization
2024-02-25-21:47:49,100,10,3,2,ORIGINAL,MNIST,0.9154961962026966,0.9573266527221603,0,1,55,0.4908487,1,"[55, 90, 86]","[0.4908487, 0.4357947, 0.06834157]","[1, 1, 1]",No visualization
2024-02-25-21:47:53,100,10,3,2,REIMPLEMENTED,MNIST,0.8649936858560839,0.9067634461439699,0,1,55,0.36858937,1,"[55, 90, 86]","[0.36858937, 0.17836519, 0.1752175]","[1, 1, 1]",No visualization
2024-02-25-21:49:16,100,10,3,2,ORIGINAL,CaD,-7.364698528236512,0.937170597164912,0,1,71,0.43825522,1,"[71, 25, 14]","[0.43825522, 0.32720694, 0.22362721]","[1, 1, 1]",No visualization
2024-02-25-21:50:36,100,10,3,2,REIMPLEMENTED,CaD,-3.9854093557564836,0.8500246369164769,0,1,71,0.24702315,1,"[71, 25, 14]","[0.24702315, 0.17157249, 0.14506379]","[1, 1, 1]",No visualization
2024-02-25-21:50:43,100,10,3,2,ORIGINAL,Heart,0.970683995921893,0.8294441941187528,0,0,98,0.99473083,0,"[98, 5, 69]","[0.99473083, 0.0032381178, 0.0013841408]","[0, 0, 0]",No visualization
2024-02-25-21:50:47,100,10,3,2,REIMPLEMENTED,Heart,0.7768154584185231,0.3537969719854177,0,0,60,0.2985951,0,"[60, 45, 17]","[0.2985951, 0.21113856, 0.12298216]","[0, 0, 0]",No visualization
2024-02-25-21:51:29,100,10,3,2,ORIGINAL,MNIST_MakeCorpus,0.9177054944138564,0.9535112940214828,0,1,86,0.4718943,1,"[86, 39, 82]","[0.4718943, 0.3826449, 0.14208828]","[1, 1, 1]",No visualization
2024-02-25-21:52:04,100,10,3,2,REIMPLEMENTED,MNIST_MakeCorpus,0.8646794558706351,0.9072979559329573,0,1,82,0.29840022,1,"[82, 86, 39]","[0.29840022, 0.2975829, 0.28365192]","[1, 1, 1]",No visualization
2024-02-25-21:52:10,100,10,5,0,ORIGINAL,MNIST,0.9114690927055834,0.9559746919170389,0,1,90,0.4981264,1,"[90, 99, 32, 55, 29]","[0.4981264, 0.33804658, 0.15218446, 0.006174519, 0.002076972]","[1, 1, 6, 1, 1]",No visualization
2024-02-25-21:52:14,100,10,5,0,REIMPLEMENTED,MNIST,0.910977125293373,0.9544522412052642,0,1,90,0.4830423,1,"[90, 99, 32, 41, 55]","[0.4830423, 0.30393866, 0.13713576, 0.047263343, 0.009091639]","[1, 1, 6, 1, 1]",No visualization
