experiment_id;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;sample_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets
1;50;10;5;0;R_NORMALIZE;MNIST;-0.7728213716913283;-0.05957204839503214;1;2;49;0.02;3;[49, 48, 47, 46, 45];[0.02, 0.02, 0.02, 0.02, 0.02];[3, 9, 5, 8, 9]
1;50;10;5;0;R_INIT_WEIGHTS_RANDOM;MNIST;0.8640277611300496;0.9072445277211532;1;2;25;0.51167893;2;[25, 36, 32, 24, 37];[0.51167893, 0.22340767, 0.10873249, 0.09821963, 0.009201186];[2, 6, 6, 1, 0]
1;50;10;5;0;R_NO_SOFTMAX_IWR;MNIST;-0.033424213376980205;0.22292850398116776;1;2;24;0.96072215;1;[24, 25, 43, 4, 29];[0.96072215, 0.013374378, 0.0005397775, 0.00053976494, 0.0005397471];[1, 2, 9, 9, 7]
1;50;10;5;0;R_NORMALIZE_IWR;MNIST;-23.647761517747007;-9.392665028720506;1;2;19;0.091109835;9;[19, 1, 3, 38, 49];[0.091109835, 0.06331393, 0.052596807, 0.045107793, 0.03563515];[9, 0, 1, 7, 3]
1;50;10;5;0;O_C_NO_SOFTMAX;MNIST;-2.9698821255567474;0.9501892910096352;1;2;3;0.24856767;1;[3, 38, 49, 20, 32];[0.24856767, 0.23983608, 0.18642558, 0.11395337, 0.103409044];[1, 7, 3, 4, 6]
1;50;10;5;0;O_C_NO_REGULIZATION;MNIST;0.8807099027398158;0.9288492951372452;1;2;25;0.53581977;2;[25, 36, 32, 24, 37];[0.53581977, 0.23335782, 0.114325926, 0.09956944, 0.006380304];[2, 6, 6, 1, 0]
0;50;10;5;1;ORIGINAL;MNIST;0.8842111188146117;0.9234352162866898;0;7;15;0.44422057;7;[15, 28, 42, 38, 33];[0.44422057, 0.39110765, 0.118328914, 0.041654915, 0.0013856841];[7, 2, 7, 7, 9]
0;50;10;5;1;ORIGINAL_COMPACT;MNIST;0.8842111188146117;0.9234352162866898;0;7;15;0.44422057;7;[15, 28, 42, 38, 33];[0.44422057, 0.39110765, 0.118328914, 0.041654915, 0.0013856841];[7, 2, 7, 7, 9]
0;50;10;5;1;REIMPLEMENTED;MNIST;0.8570027031460887;0.8795110654320327;0;7;15;0.3779541;7;[15, 28, 42, 38, 48];[0.3779541, 0.33252966, 0.096366294, 0.03631531, 0.003453851];[7, 2, 7, 7, 9]
0;50;10;5;1;R_NO_SOFTMAX;MNIST;-3.953077998331223;-1.989614477123632;0;7;41;0.036622956;8;[41, 42, 15, 28, 39];[0.036622956, 0.03386801, 0.029246578, 0.028512603, 0.0277961];[8, 7, 7, 2, 6]
0;50;10;5;1;R_NORMALIZE;MNIST;-0.8441563547335079;-0.07676514289632763;0;7;49;0.02;3;[49, 48, 47, 46, 45];[0.02, 0.02, 0.02, 0.02, 0.02];[3, 9, 5, 8, 9]
0;50;10;5;1;R_INIT_WEIGHTS_RANDOM;MNIST;0.8697509290089538;0.8975256011372819;0;7;15;0.40366328;7;[15, 28, 42, 38, 48];[0.40366328, 0.35292414, 0.09794345, 0.04374933, 0.0022476085];[7, 2, 7, 7, 9]
0;50;10;5;1;R_NO_SOFTMAX_IWR;MNIST;0.33315818479342524;0.44852421660891795;0;7;42;0.92499423;7;[42, 28, 15, 1, 3];[0.92499423, 0.008294528, 0.0021504636, 0.0014642276, 0.0013719739];[7, 2, 7, 0, 1]
0;50;10;5;1;R_NORMALIZE_IWR;MNIST;-14.165845985363227;-9.156760089793371;0;7;3;0.05112068;1;[3, 22, 44, 1, 29];[0.05112068, 0.050655227, 0.043446142, 0.033822592, 0.03335445];[1, 9, 3, 0, 7]
0;50;10;5;1;O_C_NO_SOFTMAX;MNIST;-2.767912108608144;0.9102583961743458;0;7;36;0.27771685;6;[36, 47, 37, 2, 42];[0.27771685, 0.20121282, 0.19489358, 0.14526772, 0.08891605];[6, 5, 0, 4, 7]
0;50;10;5;1;O_C_NO_REGULIZATION;MNIST;0.8863398390836928;0.9243021332470432;0;7;15;0.44477567;7;[15, 28, 42, 38, 33];[0.44477567, 0.3913203, 0.11340368, 0.04273579, 0.0016608651];[7, 2, 7, 7, 9]
1;50;10;5;1;ORIGINAL;MNIST;0.8842111188146117;0.9234352162866898;1;2;25;0.52215225;2;[25, 32, 36, 3, 39];[0.52215225, 0.26776564, 0.17810418, 0.027796835, 0.0011081585];[2, 6, 6, 1, 6]
1;50;10;5;1;ORIGINAL_COMPACT;MNIST;0.8842111188146117;0.9234352162866898;1;2;25;0.52215225;2;[25, 32, 36, 3, 39];[0.52215225, 0.26776564, 0.17810418, 0.027796835, 0.0011081585];[2, 6, 6, 1, 6]
1;50;10;5;1;REIMPLEMENTED;MNIST;0.8570027031460887;0.8795110654320327;1;2;25;0.463328;2;[25, 32, 36, 3, 48];[0.463328, 0.23298083, 0.16014692, 0.023836138, 0.0026327814];[2, 6, 6, 1, 9]
1;50;10;5;1;R_NO_SOFTMAX;MNIST;-3.953077998331223;-1.989614477123632;1;2;32;0.06326478;6;[32, 48, 12, 38, 43];[0.06326478, 0.05087362, 0.038981356, 0.031057015, 0.030883042];[6, 9, 3, 7, 9]
1;50;10;5;1;R_NORMALIZE;MNIST;-0.8441563547335079;-0.07676514289632763;1;2;49;0.02;3;[49, 48, 47, 46, 45];[0.02, 0.02, 0.02, 0.02, 0.02];[3, 9, 5, 8, 9]
1;50;10;5;1;R_INIT_WEIGHTS_RANDOM;MNIST;0.8697509290089538;0.8975256011372819;1;2;25;0.49394003;2;[25, 32, 36, 3, 39];[0.49394003, 0.25027257, 0.16981351, 0.024306655, 0.001950937];[2, 6, 6, 1, 6]
1;50;10;5;1;R_NO_SOFTMAX_IWR;MNIST;0.33315818479342524;0.44852421660891795;1;2;16;0.06424873;2;[16, 11, 8, 43, 6];[0.06424873, 0.024985818, 0.01897959, 0.018978477, 0.01897827];[2, 5, 1, 9, 1]
1;50;10;5;1;R_NORMALIZE_IWR;MNIST;-14.165845985363227;-9.156760089793371;1;2;32;0.11440684;6;[32, 12, 41, 48, 5];[0.11440684, 0.06262047, 0.043647572, 0.043539297, 0.034782708];[6, 3, 8, 9, 2]
1;50;10;5;1;O_C_NO_SOFTMAX;MNIST;-2.767912108608144;0.9102583961743458;1;2;48;0.3648344;9;[48, 38, 3, 20, 32];[0.3648344, 0.2620371, 0.1635762, 0.07567937, 0.07323015];[9, 7, 1, 4, 6]
1;50;10;5;1;O_C_NO_REGULIZATION;MNIST;0.8863398390836928;0.9243021332470432;1;2;25;0.52127963;2;[25, 32, 36, 3, 39];[0.52127963, 0.26212135, 0.1801776, 0.026817488, 0.0013871767];[2, 6, 6, 1, 6]
0;50;10;10;0;ORIGINAL;MNIST;0.8808175929465104;0.9288259495077862;0;7;15;0.42507347;7;[15, 28, 42, 38, 33, 45, 44, 16, 43, 29];[0.42507347, 0.3275376, 0.14525317, 0.098540835, 0.0006430172, 0.00024832756, 0.00023832035, 0.00019896142, 0.0001859813, 0.0001644353];[7, 2, 7, 7, 9, 9, 3, 2, 9, 7]
0;50;10;10;0;ORIGINAL_COMPACT;MNIST;0.8808175929465104;0.9288259495077862;0;7;15;0.42507347;7;[15, 28, 42, 38, 33, 45, 44, 16, 43, 29];[0.42507347, 0.3275376, 0.14525317, 0.098540835, 0.0006430172, 0.00024832756, 0.00023832035, 0.00019896142, 0.0001859813, 0.0001644353];[7, 2, 7, 7, 9, 9, 3, 2, 9, 7]
0;50;10;10;0;REIMPLEMENTED;MNIST;0.8511789058667363;0.8923421400673434;0;7;15;0.37954953;7;[15, 28, 42, 38, 48, 49, 40, 37, 41, 47];[0.37954953, 0.29233992, 0.12793694, 0.087813, 0.0027657105, 0.0027657105, 0.0027657105, 0.0027657105, 0.0027657105, 0.0027657105];[7, 2, 7, 7, 9, 3, 1, 0, 8, 5]
0;50;10;10;0;R_NO_SOFTMAX;MNIST;-12.758031446040818;-3.3574588471597364;0;7;15;0.03412173;7;[15, 27, 42, 23, 36, 28, 18, 38, 49, 4];[0.03412173, 0.033145443, 0.031026235, 0.026533676, 0.02644231, 0.024244305, 0.024130462, 0.024029303, 0.023813684, 0.023682361];[7, 3, 7, 1, 6, 2, 6, 7, 3, 9]
0;50;10;10;0;R_NORMALIZE;MNIST;-0.7728213716913283;-0.05957204839503214;0;7;49;0.02;3;[49, 48, 47, 46, 45, 44, 43, 42, 41, 40];[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02];[3, 9, 5, 8, 9, 3, 9, 7, 8, 1]
