timestamp;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;sample_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets
2024-02-24-17:34:05;1000;100;50;1;ORIGINAL_COMPACT;MNIST;0.9799588467601369;0.9935791593996178;0;1;501;0.46688947;1;[501, 901, 314, 49, 222, 717, 758, 375, 486, 704, 478, 200, 643, 163, 242, 663, 812, 910, 898, 10, 63, 243, 776, 76, 743, 575, 335, 488, 6, 395, 796, 261, 585, 135, 947, 893, 142, 813, 212, 391, 616, 956, 493, 593, 455, 367, 22, 120, 824, 272];[0.46688947, 0.1133347, 0.10112091, 0.055187557, 0.046453156, 0.03672442, 0.035331205, 0.025089035, 0.022276768, 0.013789392, 0.009218462, 0.008886449, 0.008825017, 0.0070879124, 0.006692907, 0.0040432494, 0.003424029, 0.003406061, 0.003122601, 0.0029660745, 0.0025202835, 0.002351414, 0.0022210889, 0.0020504117, 0.0010581368, 0.0009544748, 0.0008124138, 0.00076404423, 0.00075298257, 0.0007007394, 0.00068905577, 0.00064087834, 0.00060789275, 0.00054648373, 0.00054644205, 0.00051473436, 0.00048992183, 0.00045021102, 0.00041684022, 0.0004029499, 0.00040192576, 0.00039391036, 0.00037951616, 0.00037672275, 0.00035551353, 0.00033030767, 0.00031149824, 0.00028774704, 0.0002854257, 0.0002585989];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:34:41;1000;100;50;1;REIMPLEMENTED;MNIST;0.9794735754018921;0.9929802338312754;0;1;501;0.47687104;1;[501, 901, 314, 49, 222, 758, 717, 486, 375, 704, 200, 643, 163, 478, 242, 663, 812, 10, 898, 910, 63, 776, 243, 76, 743, 575, 335, 488, 6, 796, 395, 585, 261, 947, 135, 142, 893, 813, 884, 781, 212, 616, 391, 156, 493, 593, 956, 440, 455, 50];[0.47687104, 0.10068544, 0.100327104, 0.041952867, 0.037784055, 0.03688268, 0.031986263, 0.020551397, 0.020457761, 0.013849848, 0.010350679, 0.009336432, 0.009080925, 0.008396337, 0.008037317, 0.005361641, 0.004945632, 0.0040829396, 0.0040744697, 0.003464761, 0.0032211288, 0.0028591082, 0.0028448857, 0.0027831828, 0.0015510538, 0.0014246103, 0.0012351075, 0.0011086314, 0.0010912329, 0.0010604514, 0.0010522173, 0.00097382395, 0.00095601816, 0.0008671539, 0.00084187905, 0.0007652424, 0.00076430594, 0.0007197726, 0.0007142724, 0.0006716495, 0.00065798254, 0.0006245259, 0.0006240737, 0.00062377384, 0.00060888147, 0.0006041863, 0.0005955441, 0.00058014994, 0.0005564709, 0.00053810293];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:36:35;1000;100;50;2;ORIGINAL;MNIST;0.9830327239686655;0.9945250788886097;0;1;706;0.28022042;1;[706, 484, 297, 673, 836, 980, 463, 164, 683, 86, 547, 90, 191, 460, 468, 151, 540, 349, 749, 514, 592, 694, 55, 648, 172, 558, 165, 577, 716, 93, 814, 580, 299, 769, 59, 779, 89, 907, 1, 475, 923, 579, 647, 722, 837, 471, 423, 877, 314, 443];[0.28022042, 0.16873518, 0.1394677, 0.098075114, 0.083909295, 0.03493266, 0.023942912, 0.02377931, 0.020461323, 0.018759996, 0.016029237, 0.010364883, 0.009338796, 0.00922941, 0.007845462, 0.0075414907, 0.0050070137, 0.0036489244, 0.003290926, 0.0032826762, 0.0031914308, 0.0026562014, 0.002007767, 0.0017897772, 0.0016240982, 0.0014994498, 0.0014781724, 0.0012370124, 0.0011630824, 0.0011547275, 0.001113316, 0.00097455276, 0.00084083714, 0.0007638986, 0.0007092978, 0.00064663094, 0.00063913764, 0.0005796163, 0.00054347457, 0.00049278734, 0.00049106654, 0.00048529406, 0.00047116427, 0.0004607265, 0.00045160047, 0.0003659588, 0.00034942088, 0.0003384153, 0.00033558707, 0.00033267017];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1]
2024-02-24-17:38:26;1000;100;50;2;ORIGINAL_COMPACT;MNIST;0.9830327239686655;0.9945250788886097;0;1;706;0.28022042;1;[706, 484, 297, 673, 836, 980, 463, 164, 683, 86, 547, 90, 191, 460, 468, 151, 540, 349, 749, 514, 592, 694, 55, 648, 172, 558, 165, 577, 716, 93, 814, 580, 299, 769, 59, 779, 89, 907, 1, 475, 923, 579, 647, 722, 837, 471, 423, 877, 314, 443];[0.28022042, 0.16873518, 0.1394677, 0.098075114, 0.083909295, 0.03493266, 0.023942912, 0.02377931, 0.020461323, 0.018759996, 0.016029237, 0.010364883, 0.009338796, 0.00922941, 0.007845462, 0.0075414907, 0.0050070137, 0.0036489244, 0.003290926, 0.0032826762, 0.0031914308, 0.0026562014, 0.002007767, 0.0017897772, 0.0016240982, 0.0014994498, 0.0014781724, 0.0012370124, 0.0011630824, 0.0011547275, 0.001113316, 0.00097455276, 0.00084083714, 0.0007638986, 0.0007092978, 0.00064663094, 0.00063913764, 0.0005796163, 0.00054347457, 0.00049278734, 0.00049106654, 0.00048529406, 0.00047116427, 0.0004607265, 0.00045160047, 0.0003659588, 0.00034942088, 0.0003384153, 0.00033558707, 0.00033267017];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1]
2024-02-24-17:39:03;1000;100;50;2;REIMPLEMENTED;MNIST;0.9825837722062117;0.9939829754344535;0;1;706;0.31223053;1;[706, 484, 297, 836, 673, 980, 683, 164, 463, 86, 547, 90, 151, 460, 468, 191, 540, 514, 592, 349, 694, 55, 749, 648, 172, 558, 577, 814, 656, 200, 165, 716, 93, 794, 580, 299, 87, 769, 199, 59, 89, 660, 197, 319, 779, 1, 907, 647, 837, 215];[0.31223053, 0.16702035, 0.16012186, 0.07897537, 0.07232585, 0.016156865, 0.015827676, 0.0125452485, 0.012525953, 0.011617616, 0.011404929, 0.009826811, 0.008522514, 0.006870254, 0.005265909, 0.005120062, 0.0050540287, 0.0040794252, 0.003075285, 0.0029422112, 0.0029303606, 0.0027271435, 0.002573293, 0.0023371228, 0.00202739, 0.0019791792, 0.0019595595, 0.0016681699, 0.0016631931, 0.0016263587, 0.0016004582, 0.0014718642, 0.0014562572, 0.0013805841, 0.0013714272, 0.0012888202, 0.0012577281, 0.0012212776, 0.0012147877, 0.0011059287, 0.0010813123, 0.0010755148, 0.0010665336, 0.0010414618, 0.00094057375, 0.0009180488, 0.00086816965, 0.0008379889, 0.0008323185, 0.0008282253];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-25-07:47:05;1000;100;3;0;ORIGINAL;MNIST;0.9561584094471793;0.9785921350643937;0;1;757;0.83648676;1;[757, 90, 139];[0.83648676, 0.13529223, 0.021867245];[1, 1, 1]
2024-02-25-07:48:20;1000;100;3;0;ORIGINAL_COMPACT;MNIST;0.9561584094471793;0.9785921350643937;0;1;757;0.83648676;1;[757, 90, 139];[0.83648676, 0.13529223, 0.021867245];[1, 1, 1]
2024-02-25-07:48:46;1000;100;3;0;REIMPLEMENTED;MNIST;0.7580907096614853;0.851059983911146;0;1;90;0.48969206;1;[90, 757, 359];[0.48969206, 0.13649385, 0.09173674];[1, 1, 1]
2024-02-25-08:14:55;1000;100;3;1;ORIGINAL;MNIST;0.9595612719791614;0.9794807716268134;0;1;222;0.9041575;1;[222, 163, 812];[0.9041575, 0.08480641, 0.0031993333];[1, 1, 1]
2024-02-25-08:16:18;1000;100;3;1;ORIGINAL_COMPACT;MNIST;0.9595612719791614;0.9794807716268134;0;1;222;0.9041575;1;[222, 163, 812];[0.9041575, 0.08480641, 0.0031993333];[1, 1, 1]
